Index,MPN,Manufacturer,Package,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
0,CR2032-BS-6-1,QIJEY,-,Battery Holder Coin CR2032 Cell SMD,yes,5,5,5,0.1380,0.69,https://www.lcsc.com/product-detail/C70377.html
1,DOP150N03,DOINGTER,TO-220,N-Channel 30V 150A 109W Through Hole TO-220,yes,5,5,5,0.2231,1.12,https://www.lcsc.com/product-detail/C42395896.html
2,28MM-4Ω3W-TFHM,XHXDZ,-,5% 4Ω Electromagnetic 670Hz 99dB 3W Speakers RoHS,yes,1,1,1,0.7732,0.77,https://www.lcsc.com/product-detail/C50387214.html
3,ERG25V220M6X11,JIERR,"Through Hole,D6.3xL11mm","220uF 25V Aluminum Electrolytic Capacitors Through Hole,D6.3xL11mm 2000hrs@105℃",yes,10,10,10,0.0441,0.44,https://www.lcsc.com/product-detail/C47344177.html
4,KS107M025E07RR0VH2FP0,Chengx,"Through Hole,D6.3xL7mm","100uF 25V Aluminum Electrolytic Capacitors Through Hole,D6.3xL7mm 1000hrs@105℃",yes,20,20,20,0.0242,0.48,https://www.lcsc.com/product-detail/C44587.html
5,KTD350B106K43A0T00,NCC,"Through Hole,P=5mm","10uF ±10% 35V Through Hole,P=5mm Ceramic Capacitors RoHS",yes,1,1,1,0.9782,0.98,https://www.lcsc.com/product-detail/C32753248.html
6,MF1/2WS-470Ω±1% T,CCO(Chian Chia Elec),"Through Hole,D2.3xL6.5mm","470Ω 500mW 250V Metal Film Resistor ±100ppm/℃ ±1% Through Hole,D2.3xL6.5mm Through Hole Resistors RoHS",yes,50,50,50,0.0107,0.54,https://www.lcsc.com/product-detail/C129899.html
7,MF1/4W-10KΩ±1% T,CCO(Chian Chia Elec),"Through Hole,D2.3xL6.5mm","10kΩ 250mW 250V Metal Film Resistor ±100ppm/℃ ±1% Through Hole,D2.3xL6.5mm Through Hole Resistors RoHS",yes,50,50,50,0.0113,0.57,https://www.lcsc.com/product-detail/C119347.html
8,2.54-1*1P,BOOMELE(Boom Precision Elec),"Through Hole,P=2.54mm",Pin Header 1 Position Single Row Through Hole,yes,50,50,50,0.0129,0.65,https://www.lcsc.com/product-detail/C81276.html
9,1N5819,ST,DO-41,Diode 40V 1A Through Hole DO-41,yes,5,5,5,0.0956,0.48,https://www.lcsc.com/product-detail/C110032.html
10,WJ500V-5.08-2P,KANGNEX,"Through Hole,P=5.08mm",2 Position Wire to Board Terminal Block Through Hole 5.08mm,yes,5,5,5,0.1244,0.62,https://www.lcsc.com/product-detail/C8465.html
11,DB301V-3.5-2P-GN-S,DORABO,"Through Hole,P=3.5mm",2 Position Wire to Board Terminal Block Through Hole 3.5mm,yes,5,5,5,0.0874,0.44,https://www.lcsc.com/product-detail/C695629.html
12,113991054,Seeed Technology Co. Ltd,Through Hole,"XIAO ESP32C3 - Cost Effective RISC-V MCU with Wi-Fi, BLE",yes,1,1,1,4.99,4.99,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html
13,Y005,YtotY,-,"3inch Rotating Red Flashing Beacon, 360 Degree Flashing Safety Warning Lights Emergency Light (red)",no,1,1,1,9.99,9.99,https://a.co/d/0jlY5ViY
14,Mod-MAX98357-002,GODIYMODULES,-,MAX98357 MAX98357A I2S 3W Class D Amplifier Breakout Interface I2S DAC Decoder ,yes,2,2,1,3.44,6.88,https://a.co/d/01SNwV0x
Total price,,,,,,,,,,35.31,
